timestamp,side,top,bottom
1747668338.934,1408,1399,1364
1747668339.434,1408,1400,1363
1747668339.934,1408,1399,1364
1747668340.434,1403,1398,1364
1747668340.934,1403,1400,1362
1747668341.434,1408,1398,1362
1747668341.934,1406,1398,1361
1747668342.434,1409,1403,1366
1747668342.934,1410,1394,1364
1747668343.434,1409,1396,1367
1747668343.934,1408,1399,1361
1747668344.434,1405,1398,1362
1747668344.934,1407,1398,1364
1747668345.434,1409,1402,1358
1747668345.934,1406,1398,1366
1747668346.434,1410,1398,1363
1747668346.934,1409,1398,1363
1747668347.434,1409,1396,1363
1747668347.934,1407,1399,1360
1747668348.434,1410,1398,1364
1747668348.934,1408,1401,1365
